stop_id,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,location
1,Jackson & Austin Terminal,41.87632184,-87.77410482,0,1,"(41.87632184, -87.77410482)"
2,5900 W Jackson,41.87706679,-87.77131794,0,1,"(41.87706679, -87.77131794)"
3,Jackson & Menard,41.87695725,-87.76975039,0,1,"(41.87695725, -87.76975039)"
4,5700 W Jackson,41.87702418,-87.76745055,0,1,"(41.87702418, -87.76745055)"
6,Jackson & Lotus,41.876513,-87.761446,0,1,"(41.876513, -87.761446)"
7,5351 W Jackson,41.87655197,-87.75892544,0,1,"(41.87655197, -87.75892544)"
8,Jackson & Lockwood,41.876564,-87.757313,0,1,"(41.876564, -87.757313)"
9,Jackson & Laramie,41.87659463,-87.75461526,0,1,"(41.87659463, -87.75461526)"
10,Jackson & Leamington,41.87662635,-87.7531684,0,1,"(41.87662635, -87.7531684)"
11,5047 W Jackson,41.8766513,-87.75128256,0,1,"(41.8766513, -87.75128256)"
12,Jackson & Lavergne,41.87662062,-87.74912362,0,1,"(41.87662062, -87.74912362)"
13,4849 W Jackson,41.87668892,-87.74701737,0,1,"(41.87668892, -87.74701737)"
14,Jackson & Cicero,41.87676314,-87.74483066,0,1,"(41.87676314, -87.74483066)"
15,Jackson & Kilpatrick,41.87682975,-87.74254901,0,1,"(41.87682975, -87.74254901)"
16,Jackson & Kenton,41.87683358,-87.74058525,0,1,"(41.87683358, -87.74058525)"
17,Jackson & Kolmar,41.87685748,-87.73934698,0,1,"(41.87685748, -87.73934698)"
18,Jackson & Kilbourn,41.87688572,-87.73761421,0,1,"(41.87688572, -87.73761421)"
19,Jackson & Kostner,41.87691497,-87.73515882,0,1,"(41.87691497, -87.73515882)"
20,Jackson & Kildare,41.876933,-87.73265,0,1,"(41.876933, -87.73265)"
21,Jackson & Keeler,41.876963,-87.7302,0,1,"(41.876963, -87.7302)"
22,Jackson & Karlov,41.8770066,-87.72780787,0,1,"(41.8770066, -87.72780787)"
23,Jackson & Pulaski,41.87704003,-87.72532923,0,1,"(41.87704003, -87.72532923)"
24,Jackson & Springfield,41.87706855,-87.72295441,0,1,"(41.87706855, -87.72295441)"
25,Jackson & Hamlin,41.87708065,-87.72082664,0,1,"(41.87708065, -87.72082664)"
26,Jackson & Central Park,41.87714182,-87.7154772,0,1,"(41.87714182, -87.7154772)"
27,Jackson & St. Louis,41.877181,-87.713241,0,1,"(41.877181, -87.713241)"
29,Jackson & Spaulding,41.87723116,-87.70827664,0,1,"(41.87723116, -87.70827664)"
30,Jackson & Kedzie,41.87725804,-87.70577393,0,1,"(41.87725804, -87.70577393)"
31,Jackson & Albany,41.877288,-87.703323,0,1,"(41.877288, -87.703323)"
32,Jackson & Sacramento,41.877318,-87.700867,0,1,"(41.877318, -87.700867)"
33,Jackson & Francisco,41.877348,-87.69841,0,1,"(41.877348, -87.69841)"
34,Jackson & California,41.87737082,-87.69595515,0,1,"(41.87737082, -87.69595515)"
35,Jackson & Washtenaw,41.87739943,-87.69355299,0,1,"(41.87739943, -87.69355299)"
36,2609 W Jackson,41.8774236,-87.69165753,0,1,"(41.8774236, -87.69165753)"
38,Jackson & Western,41.877478,-87.686093,0,1,"(41.877478, -87.686093)"
39,Jackson & Oakley,41.877496,-87.683652,0,1,"(41.877496, -87.683652)"
40,Jackson & Leavitt,41.87754396,-87.68127094,0,1,"(41.87754396, -87.68127094)"
41,Jackson & Hoyne,41.87739502,-87.67873587,0,1,"(41.87739502, -87.67873587)"
42,Jackson & Damen,41.877421,-87.67667235,0,1,"(41.877421, -87.67667235)"
44,Damen & Congress,41.87513747,-87.67664239,0,1,"(41.87513747, -87.67664239)"
48,Harrison & Wood,41.874059,-87.671334,0,1,"(41.874059, -87.671334)"
49,Harrison & Paulina,41.87409,-87.669231,0,1,"(41.87409, -87.669231)"
50,Ashland & Congress,41.87508698,-87.66643194,0,1,"(41.87508698, -87.66643194)"
